Unnamed: 0,Исследовательский проект,Прикладной проект,Фронтенд,Бэкенд,Мобильная разработка,Веб-разработка,Интернет вещей,Лингвистика,Линейная алгебра,Математический анализ,Биология,Психология,Здравоохранение,Компьютерная безопасность,Анализ данных,Искусственный интеллект,Машинное обучение,Тестирование,Обеспечение качества,Базы данных,Микросервисы,Разработка игр,Геоинформационные системы,Математическое моделирование,Алгоритмы,Структуры данных,Визуализация,Автоматизация,Блокчейн,Императивное программирование,Декларативное программирование,Объектно-ориентированное программирование,Процедурное программирование,Assembler,Android,IOS,Linux,Unity,PHP,SQL,Go,Ruby,Flutter,Javascript,React,Python,C++,Java,C#,C,Swift,Kotlin,HTML,CSS,Xamarin,Popularity
Исследовательский проект,0.0,0.0,2.0,3.0,2.0,2.0,4.0,8.0,8.0,8.0,8.0,8.0,6.0,3.0,7.0,7.0,8.0,3.0,1.0,4.0,2.0,2.0,7.0,9.0,9.0,9.0,7.0,4.0,4.0,5.0,6.0,3.0,6.0,3.0,3.0,3.0,5.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,1.0,7.0,8.0,5.0,4.0,7.0,3.0,2.0,1.0,1.0,2.0,7.0
Прикладной проект,0.0,0.0,8.0,8.0,8.0,8.0,7.0,6.0,4.0,4.0,5.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,9.0,7.0,9.0,9.0,5.0,7.0,6.0,7.0,8.0,9.0,9.0,7.0,7.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Фронтенд,2.0,8.0,0.0,3.0,8.0,8.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,7.0,7.0,2.0,2.0,9.0,5.0,5.0,3.0,3.0,7.0,4.0,4.0,4.0,4.0,8.0,4.0,2.0,8.0,8.0,2.0,6.0,6.0,2.0,4.0,4.0,8.0,8.0,8.0,6.0,4.0,8.0,8.0,2.0,9.0,9.0,9.0,9.0,9.0,7.0
Бэкенд,3.0,8.0,3.0,0.0,2.0,3.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,8.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,5.0,5.0,8.0,8.0,8.0,9.0,5.0,5.0,5.0,5.0,5.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Мобильная разработка,2.0,8.0,8.0,2.0,0.0,3.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,4.0,7.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,3.0,8.0,3.0,2.0,9.0,9.0,2.0,7.0,7.0,3.0,5.0,5.0,9.0,5.0,9.0,5.0,5.0,6.0,6.0,2.0,9.0,9.0,6.0,6.0,9.0,8.0
Веб-разработка,2.0,8.0,8.0,3.0,3.0,0.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,5.0,5.0,5.0,7.0,7.0,2.0,2.0,5.0,3.0,3.0,2.0,2.0,6.0,5.0,4.0,4.0,4.0,8.0,4.0,2.0,2.0,2.0,2.0,2.0,8.0,2.0,2.0,2.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,9.0,2.0,6.0
Интернет вещей,4.0,7.0,5.0,5.0,7.0,7.0,0.0,2.0,2.0,2.0,4.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,4.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,5.0
Лингвистика,8.0,6.0,4.0,7.0,5.0,4.0,2.0,0.0,9.0,9.0,1.0,6.0,5.0,1.0,9.0,9.0,9.0,2.0,1.0,6.0,4.0,5.0,2.0,6.0,9.0,8.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
Линейная алгебра,8.0,4.0,4.0,7.0,5.0,4.0,2.0,9.0,0.0,5.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,6.0,8.0,8.0,8.0,8.0,4.0,8.0,6.0,2.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,6.0,6.0,8.0,2.0,2.0,2.0,2.0,2.0,7.0
Математический анализ,8.0,4.0,4.0,7.0,5.0,4.0,2.0,9.0,5.0,0.0,8.0,6.0,6.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,3.0,8.0,8.0,8.0,8.0,8.0,4.0,8.0,6.0,2.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,6.0,6.0,8.0,2.0,2.0,2.0,2.0,2.0,7.0
Биология,8.0,5.0,4.0,7.0,5.0,4.0,4.0,1.0,8.0,8.0,0.0,6.0,8.0,3.0,8.0,8.0,8.0,3.0,3.0,3.0,3.0,5.0,1.0,8.0,8.0,8.0,8.0,4.0,4.0,6.0,2.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,8.0,6.0,6.0,7.0,2.0,2.0,2.0,2.0,2.0,6.0
Психология,8.0,6.0,5.0,7.0,5.0,4.0,4.0,6.0,7.0,6.0,6.0,0.0,8.0,2.0,8.0,9.0,9.0,3.0,3.0,3.0,3.0,7.0,3.0,7.0,7.0,6.0,7.0,7.0,3.0,6.0,3.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0
Здравоохранение,6.0,6.0,5.0,7.0,5.0,4.0,7.0,5.0,7.0,6.0,8.0,8.0,0.0,2.0,8.0,8.0,8.0,2.0,2.0,4.0,2.0,7.0,2.0,7.0,7.0,7.0,8.0,8.0,3.0,4.0,4.0,4.0,4.0,3.0,7.0,7.0,3.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,6.0,6.0,5.0,5.0,6.0,5.0
Компьютерная безопасность,3.0,8.0,4.0,7.0,5.0,6.0,4.0,1.0,8.0,8.0,3.0,2.0,2.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,4.0,6.0,6.0,8.0,8.0,4.0,5.0,5.0,5.0,5.0,6.0,4.0,4.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,6.0
Анализ данных,7.0,8.0,5.0,7.0,5.0,5.0,4.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,0.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,6.0,5.0,4.0,6.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,9.0,6.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,8.0
Искусственный интеллект,7.0,8.0,5.0,7.0,5.0,5.0,4.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,8.0,0.0,9.0,2.0,2.0,3.0,5.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0
Машинное обучение,8.0,8.0,5.0,7.0,5.0,5.0,4.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,8.0,9.0,0.0,2.0,2.0,3.0,5.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0
Тестирование,3.0,8.0,7.0,7.0,7.0,7.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,7.0,4.0,2.0,2.0,0.0,9.0,6.0,6.0,5.0,4.0,4.0,4.0,4.0,6.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,4.0,7.0,4.0,7.0,5.0,3.0,7.0,7.0,7.0,5.0,5.0,6.0,6.0,5.0,7.0,7.0,7.0,7.0,7.0,6.0
Обеспечение качества,1.0,9.0,7.0,7.0,7.0,7.0,4.0,1.0,4.0,4.0,3.0,3.0,2.0,7.0,4.0,2.0,2.0,9.0,0.0,6.0,6.0,5.0,4.0,4.0,4.0,4.0,6.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,4.0,7.0,4.0,7.0,5.0,3.0,7.0,7.0,7.0,5.0,5.0,6.0,6.0,5.0,7.0,7.0,7.0,7.0,7.0,6.0
Базы данных,4.0,7.0,2.0,9.0,5.0,2.0,4.0,6.0,4.0,4.0,3.0,3.0,4.0,7.0,4.0,3.0,3.0,6.0,6.0,0.0,7.0,4.0,4.0,4.0,4.0,9.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0
Микросервисы,2.0,9.0,2.0,8.0,4.0,2.0,7.0,4.0,4.0,4.0,3.0,3.0,2.0,7.0,4.0,5.0,5.0,6.0,6.0,7.0,0.0,5.0,4.0,3.0,3.0,3.0,3.0,8.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,8.0,6.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,7.0,5.0
Разработка игр,2.0,9.0,9.0,7.0,7.0,5.0,4.0,5.0,4.0,3.0,5.0,7.0,7.0,7.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,0.0,4.0,4.0,5.0,4.0,6.0,2.0,2.0,4.0,4.0,7.0,4.0,1.0,7.0,7.0,4.0,9.0,5.0,3.0,0.0,1.0,5.0,6.0,5.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,7.0,7.0,4.0,7.0
Геоинформационные системы,7.0,5.0,5.0,7.0,5.0,3.0,4.0,2.0,6.0,8.0,1.0,3.0,2.0,2.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,0.0,9.0,9.0,9.0,9.0,6.0,4.0,2.0,2.0,6.0,6.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,3.0,2.0,3.0,3.0,3.0,6.0
Математическое моделирование,9.0,7.0,5.0,7.0,5.0,3.0,4.0,6.0,8.0,8.0,8.0,7.0,7.0,4.0,8.0,8.0,8.0,4.0,4.0,4.0,3.0,4.0,9.0,0.0,9.0,9.0,9.0,5.0,5.0,5.0,2.0,6.0,6.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,8.0,8.0,7.0,7.0,7.0,3.0,3.0,3.0,3.0,2.0,6.0
Алгоритмы,9.0,6.0,3.0,7.0,4.0,2.0,2.0,9.0,8.0,8.0,8.0,7.0,7.0,6.0,8.0,8.0,8.0,4.0,4.0,4.0,3.0,5.0,9.0,9.0,0.0,9.0,9.0,5.0,8.0,7.0,7.0,7.0,7.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,5.0,8.0,6.0,6.0,8.0,2.0,2.0,2.0,2.0,2.0,7.0
Структуры данных,9.0,7.0,3.0,7.0,3.0,2.0,2.0,8.0,8.0,8.0,8.0,6.0,7.0,6.0,8.0,8.0,8.0,4.0,4.0,9.0,3.0,4.0,9.0,9.0,9.0,0.0,9.0,5.0,8.0,7.0,7.0,7.0,7.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,5.0,8.0,6.0,6.0,8.0,2.0,2.0,2.0,2.0,3.0,7.0
Визуализация,7.0,8.0,7.0,5.0,5.0,6.0,4.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,4.0,3.0,6.0,9.0,9.0,9.0,9.0,0.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,7.0,7.0,6.0,7.0
Автоматизация,4.0,9.0,4.0,7.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,2.0,6.0,5.0,5.0,5.0,5.0,0.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,8.0,8.0,5.0,3.0,5.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,2.0,7.0
Блокчейн,4.0,9.0,4.0,7.0,5.0,4.0,2.0,2.0,8.0,8.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,4.0,5.0,8.0,8.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,7.0,7.0,3.0,3.0,7.0,3.0,3.0,3.0,3.0,2.0,7.0
Императивное программирование,5.0,7.0,4.0,7.0,3.0,4.0,2.0,2.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,2.0,5.0,7.0,7.0,6.0,6.0,5.0,0.0,2.0,2.0,2.0,6.0,4.0,4.0,6.0,4.0,6.0,6.0,0.0,0.0,4.0,6.0,4.0,6.0,6.0,4.0,4.0,6.0,4.0,4.0,6.0,6.0,1.0,5.0
Декларативное программирование,6.0,7.0,4.0,7.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,2.0,2.0,7.0,7.0,6.0,6.0,5.0,2.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
Объектно-ориентированное программирование,3.0,9.0,8.0,7.0,8.0,8.0,2.0,2.0,6.0,6.0,6.0,6.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,5.0,2.0,1.0,0.0,2.0,3.0,9.0,9.0,2.0,9.0,2.0,1.0,7.0,8.0,9.0,4.0,2.0,4.0,7.0,8.0,8.0,6.0,8.0,8.0,0.0,0.0,9.0,7.0
Процедурное программирование,6.0,7.0,4.0,8.0,3.0,4.0,2.0,2.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,6.0,6.0,7.0,7.0,6.0,6.0,5.0,2.0,5.0,2.0,0.0,6.0,2.0,2.0,5.0,2.0,5.0,5.0,1.0,0.0,2.0,6.0,2.0,6.0,5.0,2.0,2.0,5.0,2.0,2.0,5.0,5.0,0.0,5.0
Assembler,3.0,8.0,2.0,8.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,6.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,1.0,2.0,1.0,4.0,4.0,5.0,6.0,5.0,6.0,1.0,3.0,6.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
Android,3.0,8.0,8.0,5.0,9.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,7.0,4.0,2.0,2.0,2.0,7.0,7.0,4.0,4.0,7.0,2.0,2.0,2.0,2.0,5.0,5.0,3.0,4.0,1.0,9.0,2.0,0.0,0.0,8.0,0.0,8.0,0.0,3.0,0.0,1.0,9.0,4.0,1.0,5.0,2.0,8.0,7.0,3.0,0.0,9.0,7.0,6.0,9.0,8.0
IOS,3.0,8.0,8.0,5.0,9.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,7.0,4.0,2.0,2.0,2.0,7.0,7.0,4.0,4.0,7.0,2.0,2.0,2.0,2.0,5.0,5.0,3.0,4.0,1.0,9.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,8.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,8.0
Linux,5.0,8.0,2.0,8.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,6.0,3.0,2.0,2.0,4.0,4.0,4.0,5.0,4.0,3.0,2.0,4.0,4.0,5.0,6.0,3.0,6.0,1.0,2.0,5.0,6.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,1.0,0.0,3.0,0.0,8.0,7.0,5.0,3.0,8.0,0.0,0.0,3.0,2.0,3.0,7.0
Unity,2.0,8.0,6.0,8.0,7.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,6.0,2.0,2.0,2.0,7.0,7.0,4.0,5.0,9.0,3.0,1.0,2.0,2.0,5.0,5.0,3.0,4.0,1.0,9.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,2.0,1.0,5.0,9.0,1.0,0.0,0.0,4.0,5.0,4.0,8.0
PHP,2.0,8.0,6.0,8.0,7.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,3.0,1.0,2.0,2.0,5.0,8.0,3.0,6.0,1.0,2.0,5.0,2.0,0.0,0.0,4.0,0.0,0.0,8.0,4.0,3.0,0.0,2.0,1.0,5.0,3.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0
SQL,4.0,8.0,2.0,9.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,7.0,7.0,9.0,5.0,3.0,3.0,1.0,3.0,3.0,4.0,8.0,3.0,6.0,1.0,1.0,5.0,0.0,3.0,2.0,4.0,3.0,8.0,0.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,6.0,6.0,5.0,3.0,3.0,2.0,0.0,3.0,8.0
Go,4.0,8.0,4.0,5.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,5.0,5.0,3.0,8.0,0.0,2.0,1.0,2.0,1.0,3.0,5.0,4.0,0.0,3.0,7.0,1.0,3.0,0.0,0.0,7.0,0.0,4.0,2.0,0.0,5.0,0.0,6.0,5.0,3.0,1.0,4.0,1.0,2.0,0.0,0.0,6.0,5.0,0.0,7.0
Ruby,3.0,8.0,4.0,5.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,6.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,0.0,0.0,7.0,6.0,5.0,2.0,4.0,2.0,1.0,0.0,0.0,8.0,7.0,0.0,7.0
Flutter,2.0,8.0,8.0,5.0,9.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,7.0,7.0,4.0,4.0,5.0,2.0,2.0,2.0,2.0,5.0,5.0,3.0,4.0,1.0,9.0,2.0,0.0,9.0,8.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,3.0,5.0,2.0,2.0,8.0,4.0,2.0,7.0,9.0,0.0,0.0,4.0,8.0
Javascript,2.0,8.0,8.0,5.0,5.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,7.0,7.0,4.0,4.0,6.0,2.0,2.0,2.0,2.0,5.0,7.0,3.0,6.0,1.0,4.0,6.0,0.0,4.0,2.0,3.0,0.0,2.0,3.0,6.0,7.0,3.0,0.0,9.0,6.0,4.0,5.0,2.0,1.0,3.0,3.0,8.0,7.0,2.0,8.0
React,1.0,8.0,8.0,5.0,9.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,7.0,7.0,4.0,4.0,5.0,2.0,2.0,2.0,2.0,5.0,5.0,3.0,4.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,6.0,5.0,9.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,8.0,7.0,0.0,8.0
Python,7.0,8.0,6.0,8.0,5.0,2.0,7.0,7.0,8.0,8.0,9.0,8.0,3.0,4.0,9.0,8.0,8.0,5.0,5.0,4.0,4.0,2.0,2.0,8.0,5.0,5.0,7.0,7.0,7.0,6.0,1.0,4.0,6.0,1.0,5.0,3.0,8.0,2.0,5.0,5.0,3.0,5.0,2.0,6.0,3.0,0.0,1.0,4.0,1.0,2.0,4.0,4.0,3.0,2.0,0.0,9.0
C++,8.0,8.0,4.0,8.0,5.0,2.0,7.0,1.0,8.0,8.0,8.0,8.0,3.0,6.0,6.0,2.0,2.0,5.0,5.0,4.0,5.0,2.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,1.0,7.0,5.0,2.0,2.0,1.0,7.0,1.0,3.0,4.0,1.0,2.0,2.0,4.0,2.0,1.0,0.0,3.0,4.0,9.0,0.0,1.0,3.0,3.0,2.0,9.0
Java,5.0,8.0,8.0,8.0,6.0,2.0,4.0,1.0,6.0,6.0,6.0,5.0,5.0,4.0,2.0,2.0,2.0,6.0,6.0,4.0,4.0,4.0,7.0,7.0,6.0,6.0,7.0,7.0,3.0,4.0,1.0,8.0,2.0,0.0,8.0,1.0,5.0,5.0,1.0,6.0,4.0,4.0,8.0,5.0,1.0,4.0,3.0,0.0,6.0,1.0,1.0,7.0,5.0,5.0,7.0,9.0
C#,4.0,8.0,8.0,5.0,6.0,2.0,1.0,1.0,6.0,6.0,6.0,5.0,5.0,4.0,2.0,2.0,2.0,6.0,6.0,4.0,4.0,4.0,7.0,7.0,6.0,6.0,7.0,7.0,3.0,4.0,1.0,8.0,2.0,0.0,7.0,0.0,3.0,9.0,1.0,6.0,1.0,2.0,4.0,2.0,0.0,1.0,4.0,6.0,0.0,2.0,0.0,1.0,5.0,5.0,9.0,8.0
C,7.0,8.0,2.0,5.0,2.0,2.0,7.0,1.0,8.0,8.0,7.0,5.0,3.0,6.0,3.0,2.0,2.0,5.0,5.0,4.0,5.0,2.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0,1.0,6.0,5.0,2.0,3.0,0.0,8.0,1.0,4.0,5.0,2.0,1.0,2.0,1.0,2.0,2.0,9.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,8.0
Swift,3.0,8.0,9.0,5.0,9.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,4.0,2.0,2.0,2.0,7.0,7.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,5.0,5.0,3.0,4.0,1.0,8.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,9.0
Kotlin,2.0,8.0,9.0,5.0,9.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,4.0,2.0,2.0,2.0,7.0,7.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,5.0,5.0,3.0,4.0,1.0,8.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,3.0,0.0,4.0,1.0,7.0,1.0,0.0,2.0,0.0,5.0,4.0,4.0,9.0
HTML,1.0,8.0,9.0,5.0,6.0,9.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,7.0,7.0,4.0,4.0,7.0,3.0,3.0,2.0,2.0,7.0,5.0,3.0,6.0,1.0,0.0,5.0,0.0,7.0,0.0,3.0,4.0,0.0,2.0,6.0,8.0,0.0,8.0,8.0,3.0,3.0,5.0,5.0,3.0,2.0,5.0,0.0,9.0,6.0,9.0
CSS,1.0,8.0,9.0,5.0,6.0,9.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,7.0,7.0,4.0,4.0,7.0,3.0,3.0,2.0,2.0,7.0,5.0,3.0,6.0,1.0,0.0,5.0,0.0,6.0,0.0,2.0,5.0,0.0,0.0,5.0,7.0,0.0,7.0,7.0,2.0,3.0,5.0,5.0,3.0,2.0,4.0,9.0,0.0,7.0,8.0
Xamarin,2.0,8.0,9.0,5.0,9.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,4.0,2.0,2.0,2.0,7.0,7.0,5.0,7.0,4.0,3.0,2.0,2.0,3.0,6.0,2.0,2.0,1.0,1.0,9.0,0.0,0.0,9.0,2.0,3.0,4.0,0.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,7.0,9.0,0.0,2.0,4.0,6.0,7.0,0.0,8.0
